station_id,StationName,AvailableDocks,TotalDocks,latitude,longitude,StatusValue,StatusKey,AvailableBikes
3533,St. Nicholas Ave & W 126 St,2,34,40.8114323,-73.9518776,In Service,1,32
3534,Frederick Douglass Blvd & W 117 St,7,39,40.805159,-73.954692,In Service,1,29
3535,Mt Morris Park W & W 120 St,11,27,40.804038,-73.945925,In Service,1,16
3536,W 116 St & Broadway,38,43,40.8082,-73.9641,In Service,1,5
3537,Carlton Ave & Dean St,7,29,40.6809741,-73.9710097,In Service,1,19
3538,W 110 St & Amsterdam Ave,26,45,40.802692,-73.96295,Not In Service,3,19
3539,W 116 St & Amsterdam Ave,38,43,40.8067581,-73.9607082,In Service,1,5
3540,Morningside Ave & W 123 St,5,35,40.81,-73.9551508,In Service,1,30
3541,Amsterdam Ave & W 125 St,13,39,40.813358,-73.956461,In Service,1,26
3542,Amsterdam Ave & W 119 St,27,29,40.8086249,-73.9596214,In Service,1,2
3543,Morningside Dr & Amsterdam Ave,33,35,40.81028506,-73.95736456,In Service,1,1
3544,Underhill Ave & Pacific St,5,27,40.6804836,-73.9646795,In Service,1,22
3545,Broadway & W 122 St,27,33,40.8120562,-73.9612547,In Service,1,6
3546,Pacific St & Classon Ave,13,21,40.6791944,-73.9587903,In Service,1,8
3547,Broadway & Moylan Pl,27,41,40.8143256,-73.9590255,In Service,1,14
3549,Grand Ave & Bergen St,13,25,40.678045,-73.962408,In Service,1,11
3551,3 Ave & E 112 St,0,23,40.795508,-73.941606,In Service,1,23
3552,W 113 St & Broadway,32,39,40.805973,-73.964928,In Service,1,6
3553,Frederick Douglass Blvd & W 112 St,18,37,40.801694,-73.957145,In Service,1,18
